Timestamps,Region_1,Region_2,Region_3,Region_4
19.900000000000002,0.0010018609733461583,0.0002885906263495613,-0.0011055195752663306,-0.0003938088373242194
20.0,0.0010023196449135696,0.00028481582848166793,-0.0010694531868567774,-0.00036921735043190824
20.1,0.0010016100737923722,0.0002806012390131023,-0.0010346286229012073,-0.00034574254876047105
20.200000000000003,0.0009997812660978154,0.00027598515793678585,-0.0010010320941874185,-0.00032335660934402783
20.3,0.0009968831174678424,0.00027100481784689484,-0.0009686478036526399,-0.0003020311100032913
20.400000000000002,0.0009929661946937855,0.0002656963315941835,-0.0009374581127316042,-0.00028173713099747134
20.5,0.0009880815285449663,0.00026009464660881846,-0.0009074437020480473,-0.0002624453518005186
20.6,0.0009822804182233616,0.00025423350589506686,-0.0008785837267415781,-0.00024412614325878987
20.700000000000003,0.0009756142462923266,0.0002481454147990201,-0.0008508559654418013,-0.00022674965463479276
20.8,0.0009681343054562803,0.0002418616141329196,-0.0008242369640792579,-0.0002102858963205417
20.900000000000002,0.0009598916362627606,0.00023541205890804947,-0.0007987021738377303,-0.00019470481789023576
21.0,0.0009509368755716634,0.00022882540240072368,-0.0007742260832393462,-0.0001799763815681005
21.1,0.0009413201156509609,0.0002221289852982709,-0.0007507823444017061,-0.00016607063121284668
21.200000000000003,0.0009310907736936234,0.00021534882964783792,-0.0007283438934901247,-0.0001529577569087693
21.3,0.0009202974715318902,0.00020850963733394138,-0.000706883065404841,-0.0001406081552613327
21.400000000000002,0.0009089879253042166,0.0002016347928117202,-0.0006863717027549929,-0.00012899248550000533
21.5,0.0008972088448131937,0.00019474636982586002,-0.0006667812591854968,-0.00011808172149720371
21.6,0.0008850058423381529,0.00018786514187245894,-0.000648082897167063,-0.00010784719983592178
21.700000000000003,0.0008724233507010141,0.00018101059619148271,-0.0006302475804157712,-9.826066408874534e-05
21.8,0.0008595045501813773,0.0001742009509724679,-0.0006132461609492829,-8.929430537483903e-05
21.900000000000002,0.0008462913039582,0.00016745317551507036,-0.000597049460876325,-8.092079931248498e-05
22.0,0.0008328241017572009,0.00016078301309879062,-0.0005816283490307016,-7.311333949089853e-05
22.1,0.0008191420113752115,0.00015420500632124513,-0.0005669538125682785,-6.584566758673544e-05
22.200000000000003,0.0008052826377486791,0.00014773252467238838,-0.0005529970236520268,-5.9092100252459e-05
22.3,0.0007912820892336687,0.00014137779412120533,-0.0005397294013593904,-5.2827552906659395e-05
22.400000000000002,0.0007771749507903906,0.00013515192851488487,-0.0005271226689847362,-4.702756057632822e-05
22.5,0.000762994263714845,0.00012906496256943236,-0.0005151489068555959,-4.166829590716675e-05
22.6,0.0007487715115681675,0.0001231258862436005,-0.0005037806007937715,-3.672658446283013e-05
22.700000000000003,0.0007345366119646395,0.0001173426803013798,-0.0004929906863663432,-3.217991744009988e-05
