Timestamps,Region_1,Region_2,Region_3,Region_4,Region_5,Region_6
65.5,0.01622581848052547,0.005908441116366083,0.010132470796546613,0.004683656211189194,0.01624702422103639,0.007648257246101387
65.60000000000001,0.01658641340681299,0.005986893222000272,0.010309143941411142,0.0047289241336158465,0.016674187221308093,0.007801610811802207
65.7,0.016928262017526525,0.0060551551050397915,0.010469245688870966,0.004764442345418709,0.01708492287022911,0.007944194979801115
65.8,0.01724874568142953,0.006112072935006861,0.010610783364906385,0.0047891915450555414,0.01747657942953807,0.008074643367205382
65.9,0.01754547920179879,0.006156655111221066,0.010731956284916864,0.004802276368455613,0.01784668076398758,0.008191707590746444
66.0,0.017816367921498547,0.00618809879314995,0.010831200964663801,0.004802949829006868,0.018192981897797892,0.00829428752770824
66.10000000000001,0.0180596358314278,0.006205799139507352,0.010907213099799891,0.004790623952949155,0.018513499491549526,0.008381446688329436
66.2,0.018273834258345115,0.0062093473209362746,0.010958954031862247,0.004764871293712864,0.01880652534026565,0.008452417606020468
66.3,0.018457837720480017,0.006198521444783752,0.010985647002405705,0.004725420532565357,0.01907062847229623,0.008506600615507719
66.4,0.018610831482043184,0.006173273207630339,0.01098676683234241,0.004672148357266111,0.01930464969107459,0.008543558331492342
66.5,0.018732293922210968,0.006133712183873393,0.010962025518388057,0.004605069112767697,0.0195076912058855,0.008563007413485786
66.60000000000001,0.018821975857340745,0.006080089034944186,0.010911355449000192,0.004524323237905503,0.01967910317269577,0.00856480870177165
66.7,0.018879878281163116,0.0060127784953411725,0.010834891398511393,0.004430165172131342,0.019818468397367357,0.008548956464933921
66.8,0.01890622952175077,0.0059322626972147935,0.010732952083547504,0.0043229511896465,0.019925586061145594,0.008515567262196325
66.9,0.01890146249149147,0.005839115192901521,0.010606021807749392,0.0042031274626242,0.020000455057418293,0.00846486876051076
67.0,0.018866192482051455,0.005733985895544518,0.010454732542617775,0.004071218548170409,0.02004325734113966,0.0083971887336179
67.10000000000001,0.018801195800542764,0.00561758706248367,0.010279846669631242,0.003927816420374458,0.020054341562612685,0.008312944392700599
67.2,0.01870738943526176,0.005490680381208393,0.010082240524874485,0.003773570119001554,0.02003420716804327,0.008212632145115755
67.3,0.018585811862680608,0.005354065172716882,0.009862888828525842,0.003609176051747161,0.019983489086087217,0.00809681784035024
67.4,0.018437605054412828,0.005208567697219506,0.00962285004162041,0.0034353689637761442,0.01990294307620214,0.00796612753693679
67.5,0.018263997706003936,0.00505503152740373,0.009363252665284483,0.0032529135727195307,0.01979343178446547,0.007821238806635737
67.60000000000001,0.01806628968316652,0.004894308941489817,0.009085282478675342,0.0030625968567040787,0.01965591153100174,0.007662872579947406
67.7,0.017845837662786763,0.004727253280294542,0.008790170698958542,0.0028652209760046607,0.019491419837987484,0.007491785528575385
67.8,0.01760404193378471,0.004554712208242268,0.008479183038308783,0.0026615968046214897,0.01930106369680347,0.007308762974859985
67.9,0.017342334314298172,0.00437752181620594,0.008153609627164039,0.0024525380453126336,0.019086008565251285,0.007114612314226994
68.0,0.01706216713588502,0.0041965015036950154,0.007814755769188714,0.0022388558999901233,0.018847468080200037,0.0069101569339593775
68.10000000000001,0.01676500324273617,0.004012449579311551,0.007463933491850226,0.002021354267050087,0.018586694467854516,0.006696230610253064
68.2,0.01645230695121615,0.0038261395197423977,0.007102453854700749,0.0018008254366800906,0.018304969630434934,0.00647367236401871
68.3,0.01612553591445854,0.0036383168300339924,0.006731619977117868,0.0015780462555004483,0.018003596886256204,0.006243321755320068
68.4,0.01578613383741224,0.003449696450981894,0.00635272074780116,0.0013537747326965686,0.017683893339400486,0.006006014596341891
68.5,0.015435523988022587,0.003260960662184053,0.005967025178305408,0.0011287470602320657,0.01734718285380429,0.005762579062416148
68.60000000000001,0.015075103451828583,0.0030727574326393035,0.005575777363887727,0.000903675020734163,0.016994789606386784,0.005513832180947209
68.7,0.01470623807864516,0.0028856991738159237,0.005180192015665066,0.0006792437574488079,0.016628032193429967,0.0052605766782336544
68.8,0.014330258072067979,0.0027003618533901867,0.004781450529234085,0.0004561098816972428,0.0162482182644944,0.005003598164608327
68.9,0.01394845417466443,0.002517284430991035,0.004380697556096227,0.00023489989429355894,0.015856639658360143,0.004743662638797444
69.0,0.013562074403724231,0.002336968580185404,0.003979038045294305,1.620889830815354e-05,0.015454568015644788,0.0044815142928313415
69.10000000000001,0.013172321294698896,0.0021598786638196464,0.0035775347238744246,-0.00019940041845018468,0.015043250843076042,0.004217873599345423
69.2,0.01278034961181088,0.0019864419326091017,0.003177205986079394,-0.00041139855184499537,0.01462390800489663,0.00395343566369987
69.3,0.012387264487615792,0.0018170489194631375,0.0027790241625097376,-0.000619289720309995,0.01419772861754587,0.003688868824013644
